receiver: (g=0): rw=read, bs=4K-4K/4K-4K/4K-4K, ioengine=net, iodepth=8
sender: (g=0): rw=write, bs=4K-4K/4K-4K/4K-4K, ioengine=net, iodepth=8
fio-2.6-20-g2caf
Starting 2 processes
fio: waiting for connection
tid=5200 SEND 109724 : poll=0
tid=5200 SEND 110184 : poll=0
tid=5200 SEND 109336 : poll=0
tid=5200 SEND 109528 : poll=0
tid=5200 SEND 109260 : poll=0
tid=5200 SEND 109640 : poll=0
tid=5200 SEND 109312 : poll=0
tid=5200 SEND 109252 : poll=0
tid=5200 SEND 114608 : poll=0
tid=5200 SEND 109612 : poll=0
tid=5200 SEND 109704 : poll=0
tid=5200 SEND 109336 : poll=0
tid=5200 SEND 108980 : poll=0
tid=5200 SEND 109808 : poll=0
tid=5200 SEND 109264 : poll=0
tid=5200 SEND 109584 : poll=0
tid=5200 SEND 109796 : poll=0
tid=5200 SEND 152680 : poll=0
tid=5200 SEND 110092 : poll=0
tid=5200 SEND 109720 : poll=0
tid=5200 SEND 109672 : poll=0
tid=5200 SEND 109404 : poll=0
tid=5200 SEND 109320 : poll=0
tid=5200 SEND 108760 : poll=0
tid=5200 SEND 109432 : poll=0
tid=5200 SEND 110072 : poll=0
tid=5200 SEND 143568 : poll=0
tid=5200 SEND 114892 : poll=0
tid=5200 SEND 109440 : poll=0
tid=5200 SEND 108984 : poll=0
tid=5200 SEND 109400 : poll=0
tid=5200 SEND 109244 : poll=0
tid=5200 SEND 109448 : poll=0
tid=5200 SEND 110036 : poll=0
tid=5200 SEND 109076 : poll=0
tid=5200 SEND 109484 : poll=0
tid=5200 SEND 113876 : poll=0
tid=5200 SEND 109900 : poll=0
tid=5200 SEND 109952 : poll=0
tid=5200 SEND 109196 : poll=0
tid=5200 SEND 109300 : poll=0
tid=5200 SEND 109188 : poll=0
tid=5200 SEND 108900 : poll=0
tid=5200 SEND 109492 : poll=0
tid=5200 SEND 109056 : poll=0
tid=5200 SEND 114008 : poll=0
tid=5200 SEND 110084 : poll=0
tid=5200 SEND 108924 : poll=0
tid=5200 SEND 109116 : poll=0
tid=5200 SEND 109352 : poll=0
tid=5200 SEND 109144 : poll=0
tid=5200 SEND 109132 : poll=0
tid=5200 SEND 109992 : poll=0
tid=5200 SEND 110012 : poll=0
tid=5200 SEND 142408 : poll=0
tid=5200 SEND 109868 : poll=0
tid=5200 SEND 109504 : poll=0
tid=5200 SEND 109304 : poll=0
tid=5200 SEND 109860 : poll=0
tid=5200 SEND 109088 : poll=0
tid=5200 SEND 109012 : poll=0
tid=5200 SEND 109192 : poll=0
tid=5200 SEND 109536 : poll=0
tid=5200 SEND 109604 : poll=0
tid=5200 SEND 115172 : poll=0
tid=5200 SEND 109240 : poll=0
tid=5200 SEND 109248 : poll=0
